Mouse Necropsy information sheet,...2,...3,...4
Initials,DK,,
Today's Date,43318,,
Mouse ID,18688,,
Disposition,Sac -- 72h post-tumor (MD Anderson Pimonidazole study) (T1 was on right scapula),,
Sex,Male,,
Strain,All Alleles,,
BD,43273,,
Sac Date,43316,,
Age at Sac,43,,
RCAS injection?,Yes,,
Injection route,Ear buds,,
Injection Date,43276,,
Virus 1,RCAS Myr-HA-Akt1,,
Virus 2,RCAS Cre,,
Virus 3,,,
Virus 4,,,
Evidence of tumor?,Yes (1),,
Date Tumor reported,43313,,
Dox Tx?,No,,
Duration of Dox Tx,,,
Genotype,DCT-TVA; Braf ca; ink/arf f/f; pten f/f,,
Tissue collected,"Tumors, brain, lungs",,
Zinc fixed?,No,,
Formalin fixed?,"Tumor, brain, lungs",,
Parafin Block #'s,,,
,,,
Slide #'s,,,
H&E?,,,
IHC?,,,
IHC stain 1,,,
IHC stain 2,,,
IHC stain 3,,,
Gross Visualization of Lung Nodules?,No,,
Additional comments,Sac -- 72h post-tumor (MD Anderson Pimonidazole study) (T1 was on right scapula),,
,Skull was intact,,
,Organs appeared normal,,
,1 cryo for T1,,
,"vehicle control treated every 24h for 72h, then IP inj of Pimonidazole, 3h incubation, sac",,
